id,name,kind,domain,file,entry_point,predicts,inputs_tables,inputs_features,upstream_models,technique,evaluation_harness,tests,measured_results,known_failures,improvement_options,status,point_in_time_safe,reads_closing_market,last_verified,entry_note,source_file
"situational","Third down and red zone","component","spread","server/services/nfl-ensemble.js","server/services/nfl-ensemble.js:889","margin (diffModel on 3rd-down + red-zone net, scale 40)","in-memory context object `c` built by ensembleLine() from game_lines/nfl_team_week_features/etc; see inputs_features","c.feat .off_3rd/.def_3rd/.off_rz/.def_rz","none directly; consumed by nfl-ensemble.js ensembleLine()/jointComponentWeights/jointResidualFit","rule","fitEnsemble() residual gate + nfl-replay.js walk-forward (server/services/nfl-ensemble.js:~1900)","unknown (not found)","unmeasured (component-level p-value not isolated in evidence; family-level: 0/848 fit artifacts ever passed the residual gate, docs/betting-model/plans/LATEST-PLAN.md — Section B (Models — are they sharp?))","none found","unknown (not found)","live","partial — context c is built per (season,week) from prior data by ensembleLine's own cutoff handling; not independently verified per component","no","2026-09-16","","rows-spread-forecasters.csv"
"success_rate","Success rate differential","component","spread","server/services/nfl-ensemble.js","server/services/nfl-ensemble.js:874","margin (diffModel on off_sr/def_sr net, scale 120)","in-memory context object `c` built by ensembleLine() from game_lines/nfl_team_week_features/etc; see inputs_features","c.feat .off_sr/.def_sr","none directly; consumed by nfl-ensemble.js ensembleLine()/jointComponentWeights/jointResidualFit","rule","fitEnsemble() residual gate + nfl-replay.js walk-forward (server/services/nfl-ensemble.js:~1900)","unknown (not found)","unmeasured (component-level p-value not isolated in evidence; family-level: 0/848 fit artifacts ever passed the residual gate, docs/betting-model/plans/LATEST-PLAN.md — Section B (Models — are they sharp?))","none found","unknown (not found)","live","partial — context c is built per (season,week) from prior data by ensembleLine's own cutoff handling; not independently verified per component","no","2026-09-16","","rows-spread-forecasters.csv"
"team_strength","Team Strength Aggregate (Offseason→GBM Feature Block)","component","spread","server/services/nfl-team-strength.js","server/services/nfl-team-strength.js:121","6 home-minus-away team-strength differential features (ts_proj_off_points, ts_vacated_opportunity_share, ts_returning_points_share, ts_qb1_change, ts_qb1_qbr_delta, ts_qb1_proj_ppg_delta) for a residual GBM challenger","off_team_season (team, qb_change, qb_qbr_delta); rest via imported aggregation functions","proj_off_points, vacated_opportunity_share, returning_points_share, qb1_change, qb1_qbr_delta, qb1_proj_ppg_delta","offseason-model.js, preseason-model.js, nfl-gbm.js (buildGbmDataset, fitGbm, predictGbm), backtest-significance.js, model-governance.js","gbm","teamStrengthWalkForward","unknown (not found)","No fixed accuracy number hardcoded for teamStrength itself (walk-forward numbers computed live). Explicitly market-derived columns (implied_team_points/implied_points_delta) were tried and FAILED (0.995, CI 0.951-1.044) — quoted in header (lines 16-21).","'The residual leakage risk is real and is declared high in the contract: rosterAtSeasonStart falls back to season-T usage for players with no depth row at all.' (lines 42-44). Gate forward_clv hardcoded failed: 'no frozen forward sample — an offseason feature has never been traded live' (lines 448-456).","unknown (not found)","challenger","partial — projections trained on seasons strictly before target, but roster source falls back to season-T usage when no depth row exists (acknowledged high leakage risk, lines 42-45)","no (deliberately excludes implied_team_points/implied_points_delta, lines 16-22)","2026-09-16","teamStrength)","rows-spread-forecasters.csv"
"teamrankings_predictive","TeamRankings predictive rating","component","spread","server/services/nfl-ensemble.js","server/services/nfl-ensemble.js:720","margin (home-away TeamRankings rating diff + hfa)","in-memory context object `c` built by ensembleLine() from game_lines/nfl_team_week_features/etc; see inputs_features","teamrankingsRatingDiff(season,week,home) via nfl-teamrankings-lookup.js JSON export","none directly; consumed by nfl-ensemble.js ensembleLine()/jointComponentWeights/jointResidualFit","lookup","fitEnsemble() residual gate + nfl-replay.js walk-forward (server/services/nfl-ensemble.js:~1900)","unknown (not found)","unmeasured (component-level p-value not isolated in evidence; family-level: 0/848 fit artifacts ever passed the residual gate, docs/betting-model/plans/LATEST-PLAN.md — Section B (Models — are they sharp?))","none found","unknown (not found)","challenger","partial — context c is built per (season,week) from prior data by ensembleLine's own cutoff handling; not independently verified per component","no","2026-09-16","","rows-spread-forecasters.csv"
"trenches","Line of scrimmage","component","spread","server/services/nfl-ensemble.js","server/services/nfl-ensemble.js:895","margin (diffModel on sack/havoc net, scale 70)","in-memory context object `c` built by ensembleLine() from game_lines/nfl_team_week_features/etc; see inputs_features","c.feat .off_sack/.def_sack/.def_havoc","none directly; consumed by nfl-ensemble.js ensembleLine()/jointComponentWeights/jointResidualFit","rule","fitEnsemble() residual gate + nfl-replay.js walk-forward (server/services/nfl-ensemble.js:~1900)","unknown (not found)","unmeasured (component-level p-value not isolated in evidence; family-level: 0/848 fit artifacts ever passed the residual gate, docs/betting-model/plans/LATEST-PLAN.md — Section B (Models — are they sharp?))","none found","unknown (not found)","live","partial — context c is built per (season,week) from prior data by ensembleLine's own cutoff handling; not independently verified per component","no","2026-09-16","","rows-spread-forecasters.csv"
"turnover_regressed","Turnover-regressed margin","component","spread","server/services/nfl-ensemble.js","server/services/nfl-ensemble.js:901","margin (avg margin/game minus 0.6x turnover-edge fade)","in-memory context object `c` built by ensembleLine() from game_lines/nfl_team_week_features/etc; see inputs_features","c.agg pf/pa; c.feat .off_to/.def_to","none directly; consumed by nfl-ensemble.js ensembleLine()/jointComponentWeights/jointResidualFit","rule","fitEnsemble() residual gate + nfl-replay.js walk-forward (server/services/nfl-ensemble.js:~1900)","unknown (not found)","unmeasured (component-level p-value not isolated in evidence; family-level: 0/848 fit artifacts ever passed the residual gate, docs/betting-model/plans/LATEST-PLAN.md — Section B (Models — are they sharp?))","R²=0.997 vs point_diff (r=0.997); retired from live blend 2026-09-16 (docs/betting-model/plans/LATEST-PLAN.md — Effective rank result)","unknown (not found)","challenger","partial — context c is built per (season,week) from prior data by ensembleLine's own cutoff handling; not independently verified per component","no","2026-09-16","","rows-spread-forecasters.csv"
"pace_total","Pace and possessions","component","total","server/services/nfl-ensemble.js","server/services/nfl-ensemble.js:1004","total only (drives * yards-per-drive/30 * 2.05); margin always null","in-memory context object `c` built by ensembleLine() from game_lines/nfl_team_week_features/etc; see inputs_features","c.feat .off_drives/.off_ypd for both teams","none directly; consumed by nfl-ensemble.js ensembleLine()/jointComponentWeights/jointResidualFit","rule","fitEnsemble() residual gate + nfl-replay.js walk-forward (server/services/nfl-ensemble.js:~1900)","unknown (not found)","unmeasured (component-level p-value not isolated in evidence; family-level: 0/848 fit artifacts ever passed the residual gate, docs/betting-model/plans/LATEST-PLAN.md — Section B (Models — are they sharp?))","none found","unknown (not found)","live","partial — context c is built per (season,week) from prior data by ensembleLine's own cutoff handling; not independently verified per component","no","2026-09-16","","rows-spread-forecasters.csv"
"weather_total","Weather-adjusted total","component","total","server/services/nfl-ensemble.js","server/services/nfl-ensemble.js:1016","total only (avg team totals + weatherAdjustment(c)); margin always null","in-memory context object `c` built by ensembleLine() from game_lines/nfl_team_week_features/etc; see inputs_features","c.agg .totals history; weatherAdjustment() wind/cold/roof function","none directly; consumed by nfl-ensemble.js ensembleLine()/jointComponentWeights/jointResidualFit","heuristic","fitEnsemble() residual gate + nfl-replay.js walk-forward (server/services/nfl-ensemble.js:~1900)","unknown (not found)","unmeasured (component-level p-value not isolated in evidence; family-level: 0/848 fit artifacts ever passed the residual gate, docs/betting-model/plans/LATEST-PLAN.md — Section B (Models — are they sharp?))","none found","unknown (not found)","live","partial — context c is built per (season,week) from prior data by ensembleLine's own cutoff handling; not independently verified per component","no","2026-09-16","","rows-spread-forecasters.csv"
"nfl_weather_splits","Team weather-response EPA splits","component","weather","server/services/nfl-weather-response.js","server/services/nfl-weather-response.js:42","Per-team offensive EPA delta by playing condition (dome/outdoor, cold/warm, windy/calm) - the weather_total ensemble component's core signal","none directly - pure function over caller-supplied samples","prior-game epa,roof,temp,wind","none","rule","nfl-ensemble.js:596-611 weather-sensitivity significance test","unknown (not found directly; exercised indirectly via nfl-features.js/nfl-ensemble.js)","unmeasured","the weather-sensitivity significance test is a between-team spread vs noise test, not week-clustered (real but low-stakes since the component falls back to a flat constant unless significant) - LATEST-PLAN.md section ""GAP ANALYSIS - research vs. current model vs. this plan, September 16, 2026"" (N17-7 item)","make the significance test week-clustered","live","unknown (not found) - depends entirely on caller-supplied samples; whether nfl-features.js/nfl-ensemble.js filter to prior games only was not independently re-verified in this pass","no","2026-09-16","weatherSplits)","rows-player-news-live.csv"
"nfl_ai_replay_candidate_cache","nfl_ai_replay_candidate_cache","data_table","infra","server/db/schema/nfl-a-to-m.js","server/db/schema/nfl-a-to-m.js:83","n/a (raw storage table)","derived","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","not read by the live NFL pick path; consumed only outside it by: server/services/nfl-ai-replay.js","unknown (not found)","live","partial (only a generic timestamp column, not confirmed as a receipt clock: created_at)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_ai_replay_reviews","nfl_ai_replay_reviews","data_table","infra","server/db/schema/nfl-a-to-m.js","server/db/schema/nfl-a-to-m.js:78","n/a (raw storage table)","derived","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","not read by the live NFL pick path; consumed only outside it by: server/services/nfl-ai-replay.js","unknown (not found)","live","no (no clock column of any kind)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_ai_replay_runs","nfl_ai_replay_runs","data_table","infra","server/db/schema/nfl-a-to-m.js","server/db/schema/nfl-a-to-m.js:73","n/a (raw storage table)","derived","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","not read by the live NFL pick path; consumed only outside it by: server/scripts/run-nfl-ai-replay.js;server/services/nfl-ai-replay.js;server/services/nfl-evidence.js;server/services/nfl-profitability.js","unknown (not found)","live","partial (only a generic timestamp column, not confirmed as a receipt clock: created_at)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_auto_picks","nfl_auto_picks","data_table","infra","server/db/schema/nfl-a-to-m.js","server/db/schema/nfl-a-to-m.js:90","n/a (raw storage table)","internal-ledger","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","in the live pick path via: server/services/nfl-auto-picks.js","unknown (not found)","live","no (no clock column of any kind)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_bet_log","nfl_bet_log","data_table","infra","server/db/schema/nfl-a-to-m.js","server/db/schema/nfl-a-to-m.js:191","n/a (raw storage table)","internal-ledger","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","in the live pick path via: server/services/clv-core.js;server/services/nfl-sharp.js","unknown (not found)","live","no (no clock column of any kind)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_blind_audit_retries","nfl_blind_audit_retries","data_table","infra","server/db/schema/nfl-a-to-m.js","server/db/schema/nfl-a-to-m.js:173","n/a (raw storage table)","derived","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","not read by the live NFL pick path; consumed only outside it by: server/services/nfl-blind-audit.js","unknown (not found)","live","no (no clock column of any kind)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_blind_audit_runs","nfl_blind_audit_runs","data_table","infra","server/db/schema/nfl-a-to-m.js","server/db/schema/nfl-a-to-m.js:131","n/a (raw storage table)","derived","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","in the live pick path via: server/services/nfl-candidate-findings.js","unknown (not found)","live","partial (only a generic timestamp column, not confirmed as a receipt clock: created_at)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_blind_audit_week_performance","nfl_blind_audit_week_performance","data_table","infra","server/db/schema/nfl-a-to-m.js","server/db/schema/nfl-a-to-m.js:163","n/a (raw storage table)","derived","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","not read by the live NFL pick path; consumed only outside it by: server/services/nfl-blind-audit.js","unknown (not found)","live","no (no clock column of any kind)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_blind_audit_weeks","nfl_blind_audit_weeks","data_table","infra","server/db/schema/nfl-a-to-m.js","server/db/schema/nfl-a-to-m.js:143","n/a (raw storage table)","derived","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","not read by the live NFL pick path; consumed only outside it by: server/services/nfl-audit-overview.js;server/services/nfl-blind-audit.js;scripts/nfl-2022-2025-rebuild.mjs","unknown (not found)","live","no (no clock column of any kind)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_blind_input_mutations","nfl_blind_input_mutations","data_table","infra","server/db/schema/nfl-a-to-m.js","server/db/schema/nfl-a-to-m.js:157","n/a (raw storage table)","derived","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","not read by the live NFL pick path; consumed only outside it by: server/betting/nfl/strategy/teaser-leg-rates.js;server/migrations/053_nfl_news_signals_versioning.js;server/services/nfl-blind-audit.js;scripts/_prepare-validation-db.mjs","unknown (not found)","live","no (no clock column of any kind)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_cached_reports","nfl_cached_reports","data_table","infra","server/db/schema/mlb-model-misc.js","server/db/schema/mlb-model-misc.js:644","n/a (raw storage table)","derived","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","not read by the live NFL pick path; consumed only outside it by: server/services/report-cache.js","unknown (not found)","live","no (no clock column of any kind)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_candidate_finding_seasons","nfl_candidate_finding_seasons","data_table","infra","server/migrations/024_candidate_findings.js","server/migrations/024_candidate_findings.js:56","n/a (raw storage table)","derived","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","in the live pick path via: server/services/nfl-candidate-findings.js","unknown (not found)","live","no (no clock column of any kind)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_candidate_findings","nfl_candidate_findings","data_table","infra","server/migrations/024_candidate_findings.js","server/migrations/024_candidate_findings.js:29","n/a (raw storage table)","nflverse","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","in the live pick path via: server/services/nfl-candidate-findings.js","unknown (not found)","live","no (no clock column of any kind)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_candidate_input_audits","nfl_candidate_input_audits","data_table","infra","server/db/schema/nfl-n-to-z.js","server/db/schema/nfl-n-to-z.js:452","n/a (raw storage table)","derived","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","in the live pick path via: server/services/nfl-replay.js","unknown (not found)","live","partial (only a generic timestamp column, not confirmed as a receipt clock: created_at)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_candidate_robustness_audits","nfl_candidate_robustness_audits","data_table","infra","server/db/schema/nfl-a-to-m.js","server/db/schema/nfl-a-to-m.js:178","n/a (raw storage table)","derived","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","not read by the live NFL pick path; consumed only outside it by: server/migrations/048_research_trials_detail.js;server/services/nfl-candidate-analysis.js;scripts/backfill-historical-trial-registry.mjs","unknown (not found)","live","partial (only a generic timestamp column, not confirmed as a receipt clock: created_at)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_capacity_events","nfl_capacity_events","data_table","infra","server/migrations/034_t60_runner_ledger.js","server/migrations/034_t60_runner_ledger.js:62","n/a (raw storage table)","internal-ledger","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","not read by the live NFL pick path; consumed only outside it by: server/betting/nfl/strategy/t60-runner.js;server/migrations/034_t60_runner_ledger.js;server/migrations/036_t60_packet_body.js","unknown (not found)","live","no (no clock column of any kind)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_capture_triggers","nfl_capture_triggers","data_table","infra","server/migrations/014_profit_execution_triggers.js","server/migrations/014_profit_execution_triggers.js:6","n/a (raw storage table)","internal-ledger","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","not read by the live NFL pick path; consumed only outside it by: server/migrations/014_profit_execution_triggers.js;server/services/nfl-capture-dispatch.js","unknown (not found)","live","yes (has capture/receipt clock column: captured)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_clv_grades","nfl_clv_grades","data_table","infra","server/migrations/037_nfl_clv_grades.js","server/migrations/037_nfl_clv_grades.js:43","n/a (raw storage table)","derived","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","in the live pick path via: server/services/clv-core.js","unknown (not found)","live","partial (only a generic timestamp column, not confirmed as a receipt clock: created_at)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_cover_calibrations","nfl_cover_calibrations","data_table","infra","server/db/schema/nfl-a-to-m.js","server/db/schema/nfl-a-to-m.js:214","n/a (raw storage table)","derived","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","in the live pick path via: server/services/nfl-cover-calibration.js;server/services/nfl-t60-packet.js","unknown (not found)","live","partial (only a generic timestamp column, not confirmed as a receipt clock: created_at)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_decision_events","nfl_decision_events","data_table","infra","server/migrations/027_decision_tape.js","server/migrations/027_decision_tape.js:94","n/a (raw storage table)","internal-ledger","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","in the live pick path via: server/services/nfl-decision-tape.js;server/services/nfl-replay.js","unknown (not found)","live","no (no clock column of any kind)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_decision_run_invalidations","nfl_decision_run_invalidations","data_table","infra","server/migrations/031_decision_identity.js","server/migrations/031_decision_identity.js:178","n/a (raw storage table)","internal-ledger","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","in the live pick path via: server/services/nfl-decision-tape.js","unknown (not found)","live","no (no clock column of any kind)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_decision_runs","nfl_decision_runs","data_table","infra","server/migrations/027_decision_tape.js","server/migrations/027_decision_tape.js:72","n/a (raw storage table)","internal-ledger","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","in the live pick path via: server/services/nfl-decision-tape.js;server/services/nfl-replay.js","unknown (not found)","live","partial (only a generic timestamp column, not confirmed as a receipt clock: created_at)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_engine_artifacts","nfl_engine_artifacts","data_table","infra","server/db/schema/nfl-a-to-m.js","server/db/schema/nfl-a-to-m.js:256","n/a (raw storage table)","derived","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","in the live pick path via: server/services/nfl-engine-registry.js","unknown (not found)","live","partial (only a generic timestamp column, not confirmed as a receipt clock: created_at)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_engine_backfill_checkpoints","nfl_engine_backfill_checkpoints","data_table","infra","server/db/schema/nfl-a-to-m.js","server/db/schema/nfl-a-to-m.js:231","n/a (raw storage table)","derived","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","not read by the live NFL pick path; consumed only outside it by: server/services/nfl-engine-backfill.js","unknown (not found)","live","no (no clock column of any kind)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_engine_backfill_runs","nfl_engine_backfill_runs","data_table","infra","server/db/schema/nfl-a-to-m.js","server/db/schema/nfl-a-to-m.js:224","n/a (raw storage table)","derived","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","not read by the live NFL pick path; consumed only outside it by: server/services/nfl-engine-backfill.js","unknown (not found)","live","no (no clock column of any kind)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_ensemble_fit_artifacts","nfl_ensemble_fit_artifacts","data_table","infra","server/db/schema/nfl-a-to-m.js","server/db/schema/nfl-a-to-m.js:281","n/a (raw storage table)","derived","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","in the live pick path via: server/services/nfl-engine-registry.js;server/services/nfl-ensemble.js;server/services/nfl-t60-packet.js","unknown (not found)","live","partial (only a generic timestamp column, not confirmed as a receipt clock: created_at)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_ensemble_rank_reports","nfl_ensemble_rank_reports","data_table","infra","server/services/nfl-ensemble-rank.js","server/services/nfl-ensemble-rank.js:631","n/a (raw storage table)","derived","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","not read by the live NFL pick path; consumed only outside it by: server/services/nfl-ensemble-rank.js","unknown (not found)","live","partial (only a generic timestamp column, not confirmed as a receipt clock: created_at)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_execution_lifecycle_events","nfl_execution_lifecycle_events","data_table","infra","server/migrations/023_execution_lifecycle_ledger.js","server/migrations/023_execution_lifecycle_ledger.js:69","n/a (raw storage table)","internal-ledger","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","not read by the live NFL pick path; consumed only outside it by: server/db/preflight.js;server/migrations/023_execution_lifecycle_ledger.js;server/migrations/027_decision_tape.js;server/migrations/028_settlement_corrections.js","unknown (not found)","live","no (no clock column of any kind)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_execution_log","nfl_execution_log","data_table","infra","server/db/schema/nfl-a-to-m.js","server/db/schema/nfl-a-to-m.js:379","n/a (raw storage table)","internal-ledger","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","not read by the live NFL pick path; consumed only outside it by: server/migrations/023_execution_lifecycle_ledger.js;server/services/nfl-execution.js;scripts/run-historical-leaderboard.mjs","unknown (not found)","live","no (no clock column of any kind)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_execution_opportunities","nfl_execution_opportunities","data_table","infra","server/migrations/023_execution_lifecycle_ledger.js","server/migrations/023_execution_lifecycle_ledger.js:47","n/a (raw storage table)","internal-ledger","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","not read by the live NFL pick path; consumed only outside it by: server/db/preflight.js;server/migrations/023_execution_lifecycle_ledger.js;server/migrations/026_execution_opportunity_forecast.js;server/migrations/027_decision_tape.js","unknown (not found)","live","partial (only a generic timestamp column, not confirmed as a receipt clock: created_at)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_expert_forward_predictions","nfl_expert_forward_predictions","data_table","infra","server/db/schema/nfl-a-to-m.js","server/db/schema/nfl-a-to-m.js:433","n/a (raw storage table)","derived","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","not read by the live NFL pick path; consumed only outside it by: server/services/nfl-evidence-provenance.js;server/services/nfl-expert-coordinator.js;server/services/nfl-expert-council.js;server/services/nfl-postgame-truth.js","unknown (not found)","live","yes (has capture/receipt clock column: captured_at)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_expert_forward_settlements","nfl_expert_forward_settlements","data_table","infra","server/db/schema/nfl-a-to-m.js","server/db/schema/nfl-a-to-m.js:443","n/a (raw storage table)","derived","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","not read by the live NFL pick path; consumed only outside it by: server/services/nfl-expert-coordinator.js;server/services/nfl-expert-council.js","unknown (not found)","live","no (no clock column of any kind)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_external_ratings","nfl_external_ratings","data_table","infra","server/db/schema/nfl-a-to-m.js","server/db/schema/nfl-a-to-m.js:452","n/a (raw storage table)","teamrankings+ESPN (FPI)","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","in the live pick path via: server/services/scheduler.js  fpi_diff is computed (nfl-external-ratings.js:260) and consumed by nothing.","unknown (not found)","live","partial (only a generic timestamp column, not confirmed as a receipt clock: fetched_at)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_feature_ablation_audits","nfl_feature_ablation_audits","data_table","infra","server/db/schema/nfl-n-to-z.js","server/db/schema/nfl-n-to-z.js:460","n/a (raw storage table)","derived","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","not read by the live NFL pick path; consumed only outside it by: server/migrations/048_research_trials_detail.js;server/services/nfl-evidence.js;server/services/nfl-research.js;scripts/backfill-historical-trial-registry.mjs","unknown (not found)","live","partial (only a generic timestamp column, not confirmed as a receipt clock: created_at)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_feature_dictionary","nfl_feature_dictionary","data_table","infra","server/db/schema/nfl-n-to-z.js","server/db/schema/nfl-n-to-z.js:621","n/a (raw storage table)","derived","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","not read by the live NFL pick path; consumed only outside it by: server/services/nfl-weekly-feature-store.js","unknown (not found)","live","partial (only a generic timestamp column, not confirmed as a receipt clock: created_at)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_feature_revisions","nfl_feature_revisions","data_table","infra","server/db/schema/nfl-a-to-m.js","server/db/schema/nfl-a-to-m.js:113","n/a (raw storage table)","derived","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","in the live pick path via: server/services/nfl-advanced.js;server/services/nfl-bitemporal.js;server/services/nfl-t60-packet.js","unknown (not found)","live","yes (has capture/receipt clock column: observed_at)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_ffopportunity_weekly","nfl_ffopportunity_weekly","data_table","infra","server/db/schema/core-and-fantasy.js","server/db/schema/core-and-fantasy.js:633","n/a (raw storage table)","nflverse","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","in the live pick path via: server/services/ffopportunity.js","unknown (not found)","live","no (no clock column of any kind)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_game_variance","nfl_game_variance","data_table","infra","server/db/schema/nfl-n-to-z.js","server/db/schema/nfl-n-to-z.js:256","n/a (raw storage table)","derived","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","not read by the live NFL pick path; consumed only outside it by: server/services/nfl-expert-coordinator.js;server/services/nfl-postgame-truth.js","unknown (not found)","live","partial (only a generic timestamp column, not confirmed as a receipt clock: created_at)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_historical_engine_replay","nfl_historical_engine_replay","data_table","infra","server/db/schema/nfl-a-to-m.js","server/db/schema/nfl-a-to-m.js:237","n/a (raw storage table)","derived","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","not read by the live NFL pick path; consumed only outside it by: server/services/nfl-engine-backfill.js","unknown (not found)","live","no (no clock column of any kind)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_historical_signal_replay","nfl_historical_signal_replay","data_table","infra","server/db/schema/nfl-a-to-m.js","server/db/schema/nfl-a-to-m.js:245","n/a (raw storage table)","derived","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","not read by the live NFL pick path; consumed only outside it by: server/services/nfl-diagnostic.js;server/services/nfl-engine-backfill.js","unknown (not found)","live","no (no clock column of any kind)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_learning_epochs","nfl_learning_epochs","data_table","infra","server/db/schema/nfl-a-to-m.js","server/db/schema/nfl-a-to-m.js:268","n/a (raw storage table)","derived","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","in the live pick path via: server/services/nfl-engine-registry.js","unknown (not found)","live","partial (only a generic timestamp column, not confirmed as a receipt clock: created_at)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_model_experiments","nfl_model_experiments","data_table","infra","server/db/schema/nfl-a-to-m.js","server/db/schema/nfl-a-to-m.js:399","n/a (raw storage table)","derived","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","not read by the live NFL pick path; consumed only outside it by: server/services/nfl-evidence.js;server/services/nfl-experiments.js","unknown (not found)","live","partial (only a generic timestamp column, not confirmed as a receipt clock: created_at)","n/a","2026-09-16","","rows-data-and-infra.csv"
"nfl_model_growth_runs","nfl_model_growth_runs","data_table","infra","server/db/schema/nfl-a-to-m.js","server/db/schema/nfl-a-to-m.js:516","n/a (raw storage table)","derived","unknown (not found)","n/a","none","n/a","unknown (not found)","unmeasured","not read by the live NFL pick path; consumed only outside it by: server/services/nfl-model-growth.js","unknown (not found)","live","no (no clock column of any kind)","n/a","2026-09-16","","rows-data-and-infra.csv"
